train epoch: 59 batch: 0 cost: 0.227527
train epoch: 59 batch: 4000 cost: 0.207318
train epoch: 59 batch: 8000 cost: 0.222929
train epoch: 59 batch: 12000 cost: 0.23589
train epoch: 59 batch: 16000 cost: 0.214909
train epoch: 60 batch: 0 cost: 0.218289
train epoch: 60 batch: 4000 cost: 0.224624
train epoch: 60 batch: 8000 cost: 0.216054
train epoch: 60 batch: 12000 cost: 0.19911
train epoch: 60 batch: 16000 cost: 0.225935
train epoch: 61 batch: 0 cost: 0.228433
train epoch: 61 batch: 4000 cost: 0.186138
train epoch: 61 batch: 8000 cost: 0.19778
train epoch: 61 batch: 12000 cost: 0.205111
train epoch: 61 batch: 16000 cost: 0.220882
train epoch: 62 batch: 0 cost: 0.2199
train epoch: 62 batch: 4000 cost: 0.177321
train epoch: 62 batch: 8000 cost: 0.193354
train epoch: 62 batch: 12000 cost: 0.206826
train epoch: 62 batch: 16000 cost: 0.227883
train epoch: 63 batch: 0 cost: 0.237935
train epoch: 63 batch: 4000 cost: 0.182785
train epoch: 63 batch: 8000 cost: 0.181412
train epoch: 63 batch: 12000 cost: 0.215425
train epoch: 63 batch: 16000 cost: 0.250843
train epoch: 64 batch: 0 cost: 0.21268
train epoch: 64 batch: 4000 cost: 0.209587
train epoch: 64 batch: 8000 cost: 0.200227
train epoch: 64 batch: 12000 cost: 0.189292
train epoch: 64 batch: 16000 cost: 0.220695
train epoch: 65 batch: 0 cost: 0.23499
train epoch: 65 batch: 4000 cost: 0.19418
train epoch: 65 batch: 8000 cost: 0.205997
train epoch: 65 batch: 12000 cost: 0.197837
train epoch: 65 batch: 16000 cost: 0.20683
train epoch: 66 batch: 0 cost: 0.198388
train epoch: 66 batch: 4000 cost: 0.181978
train epoch: 66 batch: 8000 cost: 0.185345
train epoch: 66 batch: 12000 cost: 0.178738
train epoch: 66 batch: 16000 cost: 0.213123
train epoch: 67 batch: 0 cost: 0.176398
train epoch: 67 batch: 4000 cost: 0.157779
train epoch: 67 batch: 8000 cost: 0.177721
train epoch: 67 batch: 12000 cost: 0.159844
train epoch: 67 batch: 16000 cost: 0.177252
train epoch: 68 batch: 0 cost: 0.211006
train epoch: 68 batch: 4000 cost: 0.175478
train epoch: 68 batch: 8000 cost: 0.16059
train epoch: 68 batch: 12000 cost: 0.152035
train epoch: 68 batch: 16000 cost: 0.188699
train epoch: 69 batch: 0 cost: 0.214417
