train epoch: 61 batch: 16000 cost: 0.0789657
train epoch: 62 batch: 0 cost: 0.0923298
train epoch: 62 batch: 4000 cost: 0.0744614
train epoch: 62 batch: 8000 cost: 0.0687584
train epoch: 62 batch: 12000 cost: 0.0750273
train epoch: 62 batch: 16000 cost: 0.0566756
train epoch: 63 batch: 0 cost: 0.077048
train epoch: 63 batch: 4000 cost: 0.0776426
train epoch: 63 batch: 8000 cost: 0.0623012
train epoch: 63 batch: 12000 cost: 0.0653066
train epoch: 63 batch: 16000 cost: 0.0591321
train epoch: 64 batch: 0 cost: 0.0581982
train epoch: 64 batch: 4000 cost: 0.0625502
train epoch: 64 batch: 8000 cost: 0.0741531
train epoch: 64 batch: 12000 cost: 0.0765208
train epoch: 64 batch: 16000 cost: 0.0478701
train epoch: 65 batch: 0 cost: 0.0647144
train epoch: 65 batch: 4000 cost: 0.0627767
train epoch: 65 batch: 8000 cost: 0.0480513
train epoch: 65 batch: 12000 cost: 0.0477656
train epoch: 65 batch: 16000 cost: 0.0448185
train epoch: 66 batch: 0 cost: 0.0494309
train epoch: 66 batch: 4000 cost: 0.0449669
train epoch: 66 batch: 8000 cost: 0.0448192
train epoch: 66 batch: 12000 cost: 0.0430265
train epoch: 66 batch: 16000 cost: 0.0371017
train epoch: 67 batch: 0 cost: 0.0413267
train epoch: 67 batch: 4000 cost: 0.0432226
train epoch: 67 batch: 8000 cost: 0.111981
train epoch: 67 batch: 12000 cost: 0.407615
train epoch: 67 batch: 16000 cost: 1.80219
train epoch: 68 batch: 0 cost: 0.576857
train epoch: 68 batch: 4000 cost: 0.409996
train epoch: 68 batch: 8000 cost: 0.303175
train epoch: 68 batch: 12000 cost: 0.345874
train epoch: 68 batch: 16000 cost: 0.334114
train epoch: 69 batch: 0 cost: 0.38509
train epoch: 69 batch: 4000 cost: 0.405246
train epoch: 69 batch: 8000 cost: 0.368061
train epoch: 69 batch: 12000 cost: 0.359127
train epoch: 69 batch: 16000 cost: 0.364567
train epoch: 70 batch: 0 cost: 0.350466
train epoch: 70 batch: 4000 cost: 0.343772
train epoch: 70 batch: 8000 cost: 0.343185
train epoch: 70 batch: 12000 cost: 0.341066
train epoch: 70 batch: 16000 cost: 0.336767
train epoch: 71 batch: 0 cost: 0.311188
train epoch: 71 batch: 4000 cost: 0.30465
train epoch: 71 batch: 8000 cost: 0.297411
train epoch: 71 batch: 12000 cost: 0.297954
train epoch: 71 batch: 16000 cost: 0.297844
train epoch: 72 batch: 0 cost: 0.282333
train epoch: 72 batch: 4000 cost: 0.277388
train epoch: 72 batch: 8000 cost: 0.261887
train epoch: 72 batch: 12000 cost: 0.255393
train epoch: 72 batch: 16000 cost: 0.24962
train epoch: 73 batch: 0 cost: 0.241869
train epoch: 73 batch: 4000 cost: 0.251105
train epoch: 73 batch: 8000 cost: 0.23108
train epoch: 73 batch: 12000 cost: 0.234621
train epoch: 73 batch: 16000 cost: 0.230917
train epoch: 74 batch: 0 cost: 0.241748
train epoch: 74 batch: 4000 cost: 0.293872
train epoch: 74 batch: 8000 cost: 0.304223
train epoch: 74 batch: 12000 cost: 0.275933
train epoch: 74 batch: 16000 cost: 0.214347
train epoch: 75 batch: 0 cost: 0.26393
train epoch: 75 batch: 4000 cost: 0.225981
train epoch: 75 batch: 8000 cost: 0.232029
train epoch: 75 batch: 12000 cost: 0.211273
train epoch: 75 batch: 16000 cost: 0.216076
train epoch: 76 batch: 0 cost: 0.215169
train epoch: 76 batch: 4000 cost: 0.202851
train epoch: 76 batch: 8000 cost: 0.207798
train epoch: 76 batch: 12000 cost: 0.18884
train epoch: 76 batch: 16000 cost: 0.192612
train epoch: 77 batch: 0 cost: 0.188499
train epoch: 77 batch: 4000 cost: 0.183743
train epoch: 77 batch: 8000 cost: 0.181221
train epoch: 77 batch: 12000 cost: 0.171118
train epoch: 77 batch: 16000 cost: 0.182922
train epoch: 78 batch: 0 cost: 0.171331
train epoch: 78 batch: 4000 cost: 0.170207
train epoch: 78 batch: 8000 cost: 0.178759
train epoch: 78 batch: 12000 cost: 0.160717
train epoch: 78 batch: 16000 cost: 0.150161
train epoch: 79 batch: 0 cost: 0.168815
train epoch: 79 batch: 4000 cost: 0.149496
train epoch: 79 batch: 8000 cost: 0.138624
train epoch: 79 batch: 12000 cost: 0.142967
train epoch: 79 batch: 16000 cost: 0.134597
train epoch: 80 batch: 0 cost: 0.135492
train epoch: 80 batch: 4000 cost: 0.132751
train epoch: 80 batch: 8000 cost: 0.12287
train epoch: 80 batch: 12000 cost: 0.129766
train epoch: 80 batch: 16000 cost: 0.119921
train epoch: 81 batch: 0 cost: 0.171396
train epoch: 81 batch: 4000 cost: 0.304107
train epoch: 81 batch: 8000 cost: 0.462543
train epoch: 81 batch: 12000 cost: 0.131331
train epoch: 81 batch: 16000 cost: 0.397321
train epoch: 82 batch: 0 cost: 0.187026
train epoch: 82 batch: 4000 cost: 0.306898
train epoch: 82 batch: 8000 cost: 0.155926
train epoch: 82 batch: 12000 cost: 0.253234
train epoch: 82 batch: 16000 cost: 0.17628
train epoch: 83 batch: 0 cost: 0.203893
train epoch: 83 batch: 4000 cost: 0.211598
train epoch: 83 batch: 8000 cost: 0.154842
train epoch: 83 batch: 12000 cost: 0.185619
train epoch: 83 batch: 16000 cost: 0.158033
train epoch: 84 batch: 0 cost: 0.157752
train epoch: 84 batch: 4000 cost: 0.16545
train epoch: 84 batch: 8000 cost: 0.135658
train epoch: 84 batch: 12000 cost: 0.138948
train epoch: 84 batch: 16000 cost: 0.136641
train epoch: 85 batch: 0 cost: 0.131439
train epoch: 85 batch: 4000 cost: 0.131211
train epoch: 85 batch: 8000 cost: 0.115606
train epoch: 85 batch: 12000 cost: 0.111995
train epoch: 85 batch: 16000 cost: 0.115908
train epoch: 86 batch: 0 cost: 0.116692
train epoch: 86 batch: 4000 cost: 0.107525
train epoch: 86 batch: 8000 cost: 0.10055
train epoch: 86 batch: 12000 cost: 0.0994986
train epoch: 86 batch: 16000 cost: 0.0998487
train epoch: 87 batch: 0 cost: 0.10201
train epoch: 87 batch: 4000 cost: 0.0950807
train epoch: 87 batch: 8000 cost: 0.0829903
train epoch: 87 batch: 12000 cost: 0.0819508
train epoch: 87 batch: 16000 cost: 0.0815229
train epoch: 88 batch: 0 cost: 0.084451
train epoch: 88 batch: 4000 cost: 0.078318
train epoch: 88 batch: 8000 cost: 0.0713279
train epoch: 88 batch: 12000 cost: 0.0717466
train epoch: 88 batch: 16000 cost: 0.0666428
train epoch: 89 batch: 0 cost: 0.0688373
train epoch: 89 batch: 4000 cost: 0.0628463
train epoch: 89 batch: 8000 cost: 0.0578826
train epoch: 89 batch: 12000 cost: 0.0668523
train epoch: 89 batch: 16000 cost: 0.0576012
train epoch: 90 batch: 0 cost: 0.0573733
train epoch: 90 batch: 4000 cost: 0.0630289
train epoch: 90 batch: 8000 cost: 0.0573288
train epoch: 90 batch: 12000 cost: 0.0606832
train epoch: 90 batch: 16000 cost: 0.0479873
train epoch: 91 batch: 0 cost: 0.0661066
train epoch: 91 batch: 4000 cost: 0.0437871
train epoch: 91 batch: 8000 cost: 0.0507203
train epoch: 91 batch: 12000 cost: 0.052394
train epoch: 91 batch: 16000 cost: 0.0417471
train epoch: 92 batch: 0 cost: 0.0445898
train epoch: 92 batch: 4000 cost: 0.0419412
train epoch: 92 batch: 8000 cost: 0.0414138
train epoch: 92 batch: 12000 cost: 0.0495277
train epoch: 92 batch: 16000 cost: 0.036103
train epoch: 93 batch: 0 cost: 0.0490943
train epoch: 93 batch: 4000 cost: 0.037314
train epoch: 93 batch: 8000 cost: 0.0401839
train epoch: 93 batch: 12000 cost: 0.0397578
train epoch: 93 batch: 16000 cost: 0.0351839
train epoch: 94 batch: 0 cost: 0.0373435
train epoch: 94 batch: 4000 cost: 0.0346097
train epoch: 94 batch: 8000 cost: 0.0311045
train epoch: 94 batch: 12000 cost: 0.0490308
train epoch: 94 batch: 16000 cost: 0.0320856
train epoch: 95 batch: 0 cost: 0.0362992
train epoch: 95 batch: 4000 cost: 0.0275457
train epoch: 95 batch: 8000 cost: 0.0323415
train epoch: 95 batch: 12000 cost: 0.0339614
train epoch: 95 batch: 16000 cost: 0.0278974
train epoch: 96 batch: 0 cost: 0.0279751
train epoch: 96 batch: 4000 cost: 0.0324694
train epoch: 96 batch: 8000 cost: 0.0341065
train epoch: 96 batch: 12000 cost: 0.0463455
train epoch: 96 batch: 16000 cost: 0.0236081
train epoch: 97 batch: 0 cost: 0.0386882
train epoch: 97 batch: 4000 cost: 0.0222651
train epoch: 97 batch: 8000 cost: 0.0264018
train epoch: 97 batch: 12000 cost: 0.0314323
train epoch: 97 batch: 16000 cost: 0.0325494
train epoch: 98 batch: 0 cost: 0.0355728
